CUSIP Number,SEDOL Number,Local Currency Code,Trade Country Name,Security Name,Security Description,Maturity Date,Interest Rate,Original Face,Shares/Par Value,Base Market Value,Base Total Cost,Base Unrealized Gain/Loss,Base Accrued Interest,Local Market Value,Local Total Cost Amount,Local Unrealized Gain/Loss,Local Accrued Interest,Period End Date,Asset Class,Investment Type Name,Major Industry Name,Minor Industry Name,Moody's Quality Rating,S and P Quality Rating,Direct/Group Trust Holding
'68245XAC3,'BF191X0,USD,UNITED STATES OF AMERICA (THE),1011778 BC / NEW RED FIN,4.25%   15 May 2024,5/15/24,4.25,0,175000,173895.75,175000,-1104.25,909.02,173895.75,175000,-1104.25,909.02,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,CANADIAN,Ba3,B+,Direct
'68245XAA7,'BR23ZS8,USD,UNITED STATES OF AMERICA (THE),1011778 BC / NEW RED FIN,6%   01 Apr 2022,4/1/22,6,0,1150000,1191687.5,1184125,7562.5,17250,1191687.5,1184125,7562.5,17250,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,CANADIAN,B3,B-,Direct
'90131HBP9,'BWX5TS6,USD,UNITED STATES OF AMERICA (THE),21ST CENTURY FOX AMERICA,6.9%   15 Aug 2039,8/15/39,6.9,0,30000,39602.4,36768,2834.4,782,39602.4,36768,2834.4,782,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa1,BBB+,Direct
'90131HBN4,'BWXSBS9,USD,UNITED STATES OF AMERICA (THE),21ST CENTURY FOX AMERICA,7.85%   01 Mar 2039,3/1/39,7.85,0,255000,367641.15,265419.3,102221.85,6672.5,367641.15,265419.3,102221.85,6672.5,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa1,BBB+,Direct
'002824BM1,'BD3FM06,USD,UNITED STATES OF AMERICA (THE),ABBOTT LABORATORIES,3.875%   15 Sep 2025,9/15/25,3.875,0,25000,25713.25,25044.93,668.32,285.24,25713.25,25044.93,668.32,285.24,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa3,BBB,Direct
'002824BD1,'BYQHX25,USD,UNITED STATES OF AMERICA (THE),ABBOTT LABORATORIES,2.9%   30 Nov 2021,11/30/21,2.9,0,220000,222457.4,219610.6,2846.8,549.39,222457.4,219610.6,2846.8,549.39,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa3,BBB,Direct
'002824BH2,'BYQHX58,USD,UNITED STATES OF AMERICA (THE),ABBOTT LABORATORIES,4.9%   30 Nov 2046,11/30/46,4.9,0,1500000,1652160,1543987.5,108172.5,6329.17,1652160,1543987.5,108172.5,6329.17,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa3,BBB,Direct
'00287YAV1,'BYP8MR7,USD,UNITED STATES OF AMERICA (THE),ABBVIE INC,4.3%   14 May 2036,5/14/36,4.3,0,160000,162832,159128,3704,898.22,162832,159128,3704,898.22,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,A-,Direct
'00287YAR0,'BXDZFY1,USD,UNITED STATES OF AMERICA (THE),ABBVIE INC,4.5%   14 May 2035,5/14/35,4.5,0,245000,258386.8,243531.75,14855.05,1439.39,258386.8,243531.75,14855.05,1439.39,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,A-,Direct
'00287YAQ2,'BXDZFX0,USD,UNITED STATES OF AMERICA (THE),ABBVIE INC,3.6%   14 May 2025,5/14/25,3.6,0,250000,255015,250074.34,4940.66,1175,255015,250074.34,4940.66,1175,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,A-,Direct
